Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000271462336904,2011-01-10 11:47:49,30.000272033761068,1,1,0.0,3.709068536758423,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0,0,0
2,60.0153952913415,2011-01-10 11:48:19,60.01539586276566,1,1,0.0,3.709068536758423,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0
3,90.03054420787193,2011-01-10 11:48:49,90.0305447792961,1,1,0.0,3.708906412124634,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0
4,120.01405522802986,2011-01-10 11:49:19,120.01405579945404,1,1,0.0,3.709068536758423,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,150.02993765196246,2011-01-10 11:49:49,30.01547288896943,2,1,0.5500248074531555,3.827484369277954,0.004584986020588,0.0,0.017485775672773,0.0,0.0005507945897988975,0.0,0,0,0
6,180.04543616980692,2011-01-10 11:50:19,60.03097143688886,2,1,0.5498448610305786,3.8448173999786377,0.009170443101168,0.0,0.035079401803436,0.0,0.0003887653292622417,0.0,0,0,0
7,210.06025481319503,2011-01-10 11:50:49,90.04579005521452,2,1,0.5500248074531555,3.856966733932495,0.013755740530911,0.0,0.052738261838828,0.0,0.00025916099548339844,0.0,0,0,0
8,240.07539573981217,2011-01-10 11:51:19,120.06093097681917,2,1,0.5498448610305786,3.8662002086639404,0.018341109047974,0.0,0.070445993208684,0.0,0.0001943588285939768,0.0,0,0,0
9,270.09058484149637,2011-01-10 11:51:49,150.0761200885283,2,1,0.5500248074531555,3.8741378784179688,0.022926472011312,0.0,0.088192704372764,0.0,0.0002267837553517893,0.0,0,0,0
10,300.1058246896564,2011-01-10 11:52:19,180.09135993167587,2,1,0.5498448610305786,3.880779504776001,0.02751181120013,0.0,0.105972515779409,0.0,0.00016198158846236765,0.0,0,0,0
11,330.1208536822996,2011-01-10 11:52:49,210.10638892431908,2,1,0.5500248074531555,3.886773109436035,0.032097165865585,0.0,0.123781614427222,0.0,0.00012955666170455515,0.0,0,0,0
12,360.1359862731414,2011-01-10 11:53:19,240.12152151014837,2,1,0.5500248074531555,3.8922808170318604,0.036682547959329,0.0,0.14161704909574,0.0,0.00012955666170455515,0.0,0,0,0
13,390.1512486775184,2011-01-10 11:53:49,270.13678391452544,2,1,0.5500248074531555,3.8974647521972656,0.041267984921279,0.0,0.159476773124891,0.0,0.00019440651522018015,0.0,0,0,0
14,420.1662711088088,2011-01-10 11:54:19,300.1518063458157,2,1,0.5498448610305786,3.901838541030884,0.045853364513004,0.0,0.177358018159238,0.0,9.722709364723414e-05,0.0,0,0,0
15,450.18157894140694,2011-01-10 11:54:49,330.16711418342635,2,1,0.5500248074531555,3.906212329864502,0.050438875196086,0.0,0.195260330360521,0.0,9.722709364723414e-05,0.0,0,0,0
16,480.1966842743135,2011-01-10 11:55:19,360.18221956645795,2,1,0.5500248074531555,3.910423994064331,0.055024534390732,0.0,0.213182373952305,0.0,0.00012960433377884328,0.0,0,0,0
17,510.21171172812154,2011-01-10 11:55:49,390.1972469651285,2,1,0.5500248074531555,3.914149761199951,0.059610050376433,0.0,0.231121686121825,0.0,9.71794142969884e-05,0.0,0,0,0
18,540.2268588702295,2011-01-10 11:56:19,420.2123941072365,2,1,0.5500248074531555,3.9175515174865723,0.064195431297025,0.0,0.249077218941694,0.0,6.47544875391759e-05,0.0,0,0,0
19,570.2420254608091,2011-01-10 11:56:49,450.2275606978161,2,1,0.5498448610305786,3.9207913875579834,0.068780782035726,0.0,0.267048373672664,0.0,9.71794142969884e-05,0.0,0,0,0
