Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000151006535447,2014-01-23 13:54:05,30.00015129224422,1,1,0.0,2.005936622619629,0.0,0.0,0.0,0.0,3.227750858059153e-05,0.0,0,0,0
2,60.015930824545514,2014-01-23 13:54:35,60.01593138092576,1,1,0.0,2.005774736404419,0.0,0.0,0.0,0.0,-3.217808989575133e-05,0.0,0,0,0
3,90.03189496393006,2014-01-23 13:55:05,30.01551522661989,2,1,2.599924325942993,2.931227207183838,0.021677329975131,0.0,0.060525402279824,0.0,0.005986514035612345,0.0,0,0,0
4,120.0465822616494,2014-01-23 13:55:35,60.03020253436409,2,1,2.599924325942993,3.0541350841522217,0.043343107207115,0.0,0.125490792730665,0.0,0.003218598896637559,0.0,0,0,0
5,150.06252352015613,2014-01-23 13:56:05,90.04614384299512,2,1,2.5997440814971924,3.1323492527008057,0.065031442173582,0.0,0.192629427015805,0.0,0.002253100974485278,0.0,0,0,0
6,180.07796979572433,2014-01-23 13:56:35,120.06159007846388,2,1,2.599924325942993,3.190483570098877,0.086707988444705,0.0,0.261185574103731,0.0,0.0017488684970885515,0.0,0,0,0
7,210.09265061737804,2014-01-23 13:57:05,150.07627088006785,2,1,2.5997440814971924,3.2363107204437256,0.108372915023897,0.0,0.330821881557803,0.0,0.0013602102408185601,0.0,0,0,0
8,240.10837768452535,2014-01-23 13:57:35,180.0919979422028,2,1,2.599924325942993,3.274527072906494,0.130060342176881,0.0,0.401437806603867,0.0,0.0011586985783651471,0.0,0,0,0
9,270.1236622288758,2014-01-23 13:58:05,210.10728249156563,2,1,2.599924325942993,3.3070759773254395,0.151736613376628,0.0,0.472779499159344,0.0,0.0010300000431016088,0.0,0,0,0
10,300.1390306412835,2014-01-23 13:58:35,240.12265091901065,2,1,2.599924325942993,3.3347666263580322,0.173412892466586,0.0,0.544771522241692,0.0,0.0008689917740412056,0.0,0,0,0
11,330.15374346733273,2014-01-23 13:59:05,270.13736373002257,2,1,2.5997440814971924,3.355818033218384,0.195077854705725,0.0,0.617261901573351,0.0,0.0005829682340845466,0.0,0,0,0
12,360.16961013078634,2014-01-23 13:59:35,300.1532303984886,2,1,2.600104808807373,3.3692586421966553,0.216765698567645,0.0,0.690200129556919,0.0,0.00038626158493570983,0.0,0,0,0
13,390.1848181402714,2014-01-23 14:00:05,330.1684384380482,2,1,2.5997440814971924,3.377840995788574,0.238442469958916,0.0,0.763331254021604,0.0,0.0002582671004347503,0.0,0,0,0
14,420.2002753529721,2014-01-23 14:00:35,360.1838956306992,2,1,2.599924325942993,3.3844802379608154,0.260118071728454,0.0,0.836619597203174,0.0,0.0002259802568005398,0.0,0,0,0
15,450.2149653874808,2014-01-23 14:01:05,390.1985856451582,2,1,2.5995638370513916,3.390310049057007,0.281782363335701,0.0,0.910005048006441,0.0,0.00019315315876156092,0.0,0,0,0
16,480.2307310303255,2014-01-23 14:01:35,420.21435132308994,2,1,2.599924325942993,3.396139621734619,0.303469640312121,0.0,0.983594635002726,0.0,0.00019311408686917275,0.0,0,0,0
17,510.2461633462632,2014-01-23 14:02:05,450.22978361897793,2,1,2.5997440814971924,3.4018073081970215,0.325145937322711,0.0,1.057269897177356,0.0,0.00019371032249182463,0.0,0,0,0
18,540.2614902506992,2014-01-23 14:02:35,480.2451105334387,2,1,2.599924325942993,3.407474994659424,0.346822168028946,0.0,1.131068903339997,0.0,0.00019370859081391245,0.0,0,0,0
19,570.2762035178426,2014-01-23 14:03:05,510.25982379055733,2,1,2.5997440814971924,3.413142681121826,0.368487173367867,0.0,1.204954108399988,0.0,0.00016142765525728464,0.0,0,0,0
20,600.2920852887744,2014-01-23 14:03:35,540.2757055865512,2,1,2.599924325942993,3.4188103675842285,0.390175374949443,0.0,1.279043633510401,0.0,0.00012875402171630412,0.0,0,0,0
21,630.3069557508823,2014-01-23 14:04:05,570.2905760185845,2,1,2.5997440814971924,3.424478054046631,0.411840975421251,0.0,1.353177920160228,0.0,0.00016142724780365825,0.0,0,0,0
22,660.3226577708936,2014-01-23 14:04:35,600.3062780385958,2,1,2.5995638370513916,3.429821729660034,0.433529175792631,0.0,1.427509201479376,0.0,0.00016093062004074454,0.0,0,0,0
23,690.3377995911784,2014-01-23 14:05:05,630.3214199039926,2,1,2.599924325942993,3.4353275299072266,0.455206036398741,0.0,1.501918752293853,0.0,0.00016143805987667292,0.0,0,0,0
24,720.3527012155928,2014-01-23 14:05:35,660.3363214782827,2,1,2.5997440814971924,3.440509557723999,0.476871967985299,0.0,1.576405534708569,0.0,0.0001943582174135372,0.0,0,0,0
25,750.3687001822601,2014-01-23 14:06:05,690.3523205702609,2,1,2.599924325942993,3.4456913471221924,0.498560328616518,0.0,1.651081926098343,0.0,0.00016193275223486125,0.0,0,0,0
26,780.3834996783175,2014-01-23 14:06:35,720.3671199760946,2,1,2.600104808807373,3.450711250305176,0.520226131047667,0.0,1.725790854816658,0.0,0.00016092686564661562,0.0,0,0,0
27,810.3991968763668,2014-01-23 14:07:05,750.3828171641186,2,1,2.599924325942993,3.455569267272949,0.541914482327466,0.0,1.800684293030501,0.0,0.00016093149315565825,0.0,0,0,0
28,840.4139960616533,2014-01-23 14:07:35,780.3976163243432,2,1,2.599924325942993,3.4604272842407227,0.563580315924182,0.0,1.875603797682799,0.0,0.00016093478188849986,0.0,0,0,0
29,870.429809638411,2014-01-23 14:08:05,810.4134299361876,2,1,2.600104808807373,3.464961528778076,0.585268728540113,0.0,1.950701532568889,0.0,0.00019310525385662913,0.0,0,0,0
30,900.4445737867791,2014-01-23 14:08:35,840.4281940494687,2,1,2.599924325942993,3.4693336486816406,0.606934629490071,0.0,2.025819432189007,0.0,0.00016092855366878211,0.0,0,0,0
31,930.4604113530493,2014-01-23 14:09:05,870.4440316207515,2,1,2.599924325942993,3.473706007003784,0.62862306856293,0.0,2.101110718851366,0.0,0.00012875586980953813,0.0,0,0,0
32,960.4751261940972,2014-01-23 14:09:35,900.458746456787,2,1,2.599924325942993,3.4779162406921387,0.650289009460957,0.0,2.176418136496616,0.0,0.00016092925216071308,0.0,0,0,0
33,990.4910252378788,2014-01-23 14:10:05,930.4746455356559,2,1,2.5997440814971924,3.482288360595703,0.671977573694811,0.0,2.251897764064154,0.0,0.00016092874284368008,0.0,0,0,0
34,1020.5057347757712,2014-01-23 14:10:35,960.4893550434733,2,1,2.599924325942993,3.4866607189178467,0.693643377538661,0.0,2.327393893267449,0.0,0.00012875600077677518,0.0,0,0,0
35,1050.5215947676738,2014-01-23 14:11:05,990.5052150654508,2,1,2.599924325942993,3.49135684967041,0.715331773585437,0.0,2.403064887602273,0.0,0.00016092954319901764,0.0,0,0,0
