Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000292435348236,2010-11-19 13:24:40,30.00029312206238,1,1,0.0,3.625318765640259,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0
2,60.01568524355024,2010-11-19 13:25:10,60.01568592023937,1,1,0.0,3.625318765640259,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,90.03083766671422,2010-11-19 13:25:40,90.03083826821566,1,1,0.0,3.625318765640259,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,120.0148255985132,2010-11-19 13:26:10,120.01482621003969,1,1,0.0,3.625156879425049,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,150.03051382852917,2010-11-19 13:26:40,30.01527860312858,2,1,0.5498448610305786,3.7507002353668213,0.004585310196882,0.0,0.017117524922818,0.0,0.0007775306585244834,0.0,0,0,0
6,180.04576510845482,2010-11-19 13:27:10,60.03052980786656,2,1,0.5498448610305786,3.773703098297119,0.009170654397797,0.0,0.034372802312819,0.0,0.0004859924374613911,0.0,0,0,0
7,210.0610133207231,2010-11-19 13:27:40,90.04577809532256,2,1,0.5502047538757324,3.7881202697753906,0.013755946301538,0.0,0.051712121289817,0.0,0.0003563881036825478,0.0,0,0,0
8,240.07639381819567,2010-11-19 13:28:10,120.0611585927951,2,1,0.5498448610305786,3.796543836593628,0.018341283617228,0.0,0.069102603132652,0.0,0.00016198158846236765,0.0,0,0,0
9,270.0915824066338,2010-11-19 13:28:40,150.07634710604546,2,1,0.5500248074531555,3.801889657974243,0.02292665455303,0.0,0.086524212636467,0.0,9.71794142969884e-05,0.0,0,0,0
10,300.10678562659433,2010-11-19 13:29:10,180.09155041623129,2,1,0.5500248074531555,3.8062634468078613,0.027512043287631,0.0,0.103967498399216,0.0,0.00012960433377884328,0.0,0,0,0
11,330.12396831761924,2010-11-19 13:29:40,210.1087331022437,2,1,0.5498448610305786,3.8096652030944824,0.032097731910178,0.0,0.121429589094925,0.0,9.71794142969884e-05,0.0,0,0,0
12,360.1373145221837,2010-11-19 13:30:10,240.1220793168332,2,1,0.5500248074531555,3.8130669593811035,0.036682780386986,0.0,0.138905163699911,0.0,9.71794142969884e-05,0.0,0,0,0
13,390.1525998270409,2010-11-19 13:30:40,270.1373645064025,2,1,0.5500248074531555,3.8164689540863037,0.041268115121337,0.0,0.156396905422939,0.0,0.00012960433377884328,0.0,0,0,0
14,420.1678331822236,2010-11-19 13:31:10,300.15259795181044,2,1,0.5500248074531555,3.819384813308716,0.045853456998816,0.0,0.173903365679194,0.0,6.480216688942164e-05,0.0,0,0,0
15,450.18309131926566,2010-11-19 13:31:40,330.1678561089026,2,1,0.5500248074531555,3.822462558746338,0.050438368177212,0.0,0.191422050762566,0.0,9.71794142969884e-05,0.0,0,0,0
16,480.19852607718065,2010-11-19 13:32:10,360.18329077157983,2,1,0.5498448610305786,3.82537841796875,0.055023244476142,0.0,0.208954144844593,0.0,9.71794142969884e-05,0.0,0,0,0
17,510.21397953176535,2010-11-19 13:32:40,390.1987442161395,2,1,0.5498448610305786,3.828132152557373,0.059608137540895,0.0,0.22649951366986,0.0,3.237724376958795e-05,0.0,0,0,0
18,540.2288741163245,2010-11-19 13:33:10,420.2136388057112,2,1,0.5500248074531555,3.831210136413574,0.064192863152747,0.0,0.244057223092942,0.0,0.00012960433377884328,0.0,0,0,0
19,570.244129341097,2010-11-19 13:33:40,450.22889404050886,2,1,0.5498448610305786,3.8338019847869873,0.068777617568862,0.0,0.261627850058082,0.0,9.71794142969884e-05,0.0,0,0,0
20,600.2593862600987,2010-11-19 13:34:10,480.24415094447295,2,1,0.5496649146080017,3.8365557193756104,0.073362342272894,0.0,0.279211038316997,0.0,6.47544875391759e-05,0.0,0,0,0
21,630.2746859508653,2010-11-19 13:34:40,510.259450630227,2,1,0.5500248074531555,3.8393096923828125,0.077947408588776,0.0,0.296808352731039,0.0,6.480216688942164e-05,0.0,0,0,0
22,660.289940990175,2010-11-19 13:35:10,540.2747056845742,2,1,0.5500248074531555,3.8423874378204346,0.082532774372054,0.0,0.314419779196704,0.0,0.00012955666170455515,0.0,0,0,0
23,690.3052368062697,2010-11-19 13:35:40,570.2900015157065,2,1,0.5500248074531555,3.8451414108276367,0.087118170199427,0.0,0.332044462696183,0.0,9.71794142969884e-05,0.0,0,0,0
24,720.3205567325473,2010-11-19 13:36:10,600.3053214269464,2,1,0.5502047538757324,3.848219156265259,0.091703674564296,0.0,0.34968285435406,0.0,0.00012955666170455515,0.0,0,0,0
