Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,30.000934573594392,2013-07-01 12:19:22,30.00093513498924,1,1,0.0,3.2824618816375732,0.0,0.0,0.0,0.0,3.217665653210133e-05,0.0,0,0,0
2,60.00050985988263,2013-07-01 12:19:52,60.000510516514105,1,1,0.0,3.2824618816375732,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,90.0164664494859,2013-07-01 12:20:22,30.015582046931993,2,1,2.599924325942993,3.4618847370147705,0.021677207899692,0.0,0.074526260687959,0.0,0.0005829278961755335,0.0,0,0,0
4,120.031241175536,2013-07-01 12:20:52,60.03035674290738,2,1,2.599924325942993,3.4690098762512207,0.043342832209508,0.0,0.1496262178425,0.0,0.00012915025581605732,0.0,0,0,0
5,150.04727750117587,2013-07-01 12:21:22,90.04639317882122,2,1,2.599924325942993,3.4724104404449463,0.065031088126378,0.0,0.224903789308745,0.0,9.652802691562101e-05,0.0,0,0,0
6,180.06206759541,2013-07-01 12:21:52,120.06118314774402,2,1,2.600104808807373,3.475325345993042,0.086696777320792,0.0,0.300165027332746,0.0,9.657691407483071e-05,0.0,0,0,0
7,210.07811429682968,2013-07-01 12:22:22,150.07722998449995,2,1,2.599924325942993,3.4780781269073486,0.108385206027483,0.0,0.375565639090539,0.0,9.713127656141296e-05,0.0,0,0,0
8,240.09300523662623,2013-07-01 12:22:52,180.09212079397273,2,1,2.599924325942993,3.4811549186706543,0.130051088033234,0.0,0.450952189382219,0.0,0.00012915338447783142,0.0,0,0,0
9,270.10890820592687,2013-07-01 12:23:22,210.1080237983605,2,1,2.599924325942993,3.48471736907959,0.151739442505051,0.0,0.526488229314184,0.0,9.713159670354798e-05,0.0,0,0,0
10,300.1242082020712,2013-07-01 12:23:52,240.1233237945048,2,1,2.599924325942993,3.4882800579071045,0.173415650902461,0.0,0.602059931721654,0.0,0.0001291525550186634,0.0,0,0,0
11,330.13968403009,2013-07-01 12:24:22,270.13879967766064,2,1,2.5995638370513916,3.492166519165039,0.195091955551297,0.0,0.677716498755217,0.0,9.687599958851933e-05,0.0,0,0,0
12,360.1549743171108,2013-07-01 12:24:52,300.15409002483096,2,1,2.5997440814971924,3.4968624114990234,0.216756920068624,0.0,0.75342610787605,0.0,0.0001609298778930679,0.0,0,0,0
13,390.155305025332,2013-07-01 12:25:22,330.15442072803967,2,1,2.599924325942993,3.501882553100586,0.238433613449596,0.0,0.829279068021487,0.0,0.00019371748203411698,0.0,0,0,0
14,420.16985174487365,2013-07-01 12:25:52,360.16896733229487,2,1,2.599924325942993,3.507388114929199,0.26009926471693,0.0,0.905207803380612,0.0,0.00019370490917935967,0.0,0,0,0
15,450.1856831162811,2013-07-01 12:26:22,390.18479869868986,2,1,2.599924325942993,3.5137035846710205,0.281776106212118,0.0,0.98130407914828,0.0,0.00022598786745220423,0.0,0,0,0
16,480.2011364734686,2013-07-01 12:26:52,420.20025206590225,2,1,2.600104808807373,3.5209906101226807,0.303464833173704,0.0,1.057587661416352,0.0,0.00025906533119268715,0.0,0,0,0
17,510.2165541620333,2013-07-01 12:27:22,450.2156697544668,2,1,2.5997440814971924,3.5292491912841797,0.325142098807654,0.0,1.133998597114678,0.0,0.00029053635080344975,0.0,0,0,0
18,540.2314578685503,2013-07-01 12:27:52,480.23057342589664,2,1,2.599924325942993,3.5391273498535156,0.346808093449302,0.0,1.210565105404614,0.0,0.0004197311063762754,0.0,0,0,0
